"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NGFR",1899.31559642311,4.00237878547826,0.712336702149204,5.61866147483712,1.92442490471388e-08,5.00029737741491e-06
"ABCA8",1785.0228355765,4.05146408760227,0.882325412863866,4.5918025578023,4.3943400113892e-06,0.000360567161987145
"DOC2B",821.327164961182,2.2142842911147,0.513771798020507,4.30985955174269,1.63358260442314e-05,0.000943242696405803
"FAM20A",1392.95676875412,3.59921293154975,0.984418676195296,3.65618107273262,0.000256000558434225,0.00654270279670421
"CTD-2020K17.1",374.70852393312,2.21486265364651,0.606709001449838,3.65061775637696,0.000261610333399446,0.00657823402854414
"HIC1",2344.39053853805,2.22518030361245,0.6526975561117,3.40920581481638,0.000651523057367228,0.0112069284313978
"GAS7",3373.60788591979,2.29824995581883,0.695496631012429,3.30447316829311,0.000951550838509667,0.014543801541535
"PLXDC1",2599.24032079906,2.15247216881863,0.660944766033066,3.25665967783902,0.00112731504041381,0.0160249181986843
"ARL4D",542.3753030295,2.66792939456518,0.829764257672579,3.21528599225098,0.00130314621398766,0.0178210960316383
"ARHGEF15",1470.10283428295,2.3851476764448,0.745419537542366,3.199738612042,0.00137552274110305,0.0183285466100825
"SEPT4",1357.42097680999,2.37991065101706,0.746940943748212,3.18620992855803,0.0014414995853324,0.0185727095333323
"NLGN2",2573.63988153082,2.31417512422262,0.75034229410493,3.08415924625861,0.00204128299770452,0.0228946776505132
"MEOX1",649.427054866124,2.28586474230707,0.743151020685991,3.07590877046368,0.00209862045532914,0.023369637784701
"NLRP1",2926.26598763754,2.08714310601452,0.710307621031501,2.93836507481589,0.00329948240092463,0.0309873076086837
"CD79B",659.039977472793,2.28952321144306,0.793294063467983,2.88609648915576,0.00390052554933533,0.0351498227249351
"COPZ2",1449.98625084496,2.60908526918283,0.937683860273987,2.78247859403325,0.00539454238038394,0.0435354578807618
